"period_year","period_number","kod_zl","reg_num","zp"
2017,4,"782299034","075027439029",29033.6
2017,5,"782299034","075027439029",23887.37
2017,6,"782299034","075027439029",19611.55
2017,1,"782299034","075027439029",46972.86
2017,3,"782299034","075027439029",25436.81
2017,2,"782299034","075027439029",25360.21
2017,9,"814903834","075027439029",24376.26
2017,11,"593656834","075027439029",27586.01
2017,10,"593656834","075027439029",32685.19
2017,12,"593656834","075027439029",96553.42
2017,7,"593656834","075027439029",35633.32
2017,8,"593656834","075027439029",11894.62
2017,9,"593656834","075027439029",37421.32
2017,1,"593656834","075027439029",62854.29
2017,3,"593656834","075027439029",37793.32
2017,2,"593656834","075027439029",37063.32
2017,1,"313640838","075027439029",66080.05
2017,2,"313640838","075027439029",18291.86
2017,9,"679069246","075027439029",29809.35
2017,7,"679069246","075027439029",7108.16
2017,8,"679069246","075027439029",7108.58
2017,5,"679069246","075027439029",7108.58
2017,6,"679069246","075027439029",7108.58
2017,4,"679069246","075027439029",24963.65
2017,12,"679069246","075027439029",10920.53
2017,10,"679069246","075027439029",10978.03
2017,11,"679069246","075027439029",10978.03
2017,2,"679069246","075027439029",4537.07
2017,8,"333549048","075027439029",12708.23
2017,9,"333549048","075027439029",11111.3
2017,7,"333549048","075027439029",11132.01
2017,4,"333549048","075027439029",11688.6
2017,6,"333549048","075027439029",12283.06
2017,5,"333549048","075027439029",11688.6
2017,1,"333549048","075027439029",14074.62
2017,2,"333549048","075027439029",11688.6
2017,3,"333549048","075027439029",12838.6
2017,11,"333549048","075027439029",11667.68
2017,10,"333549048","075027439029",11668.62
2017,12,"333549048","075027439029",32357.84
2017,7,"751387454","075027439029",9195.0
2017,11,"843099456","075027439029",42285.24
2017,10,"843099456","075027439029",39575.27
2017,12,"843099456","075027439029",73563.61
2017,7,"843099456","075027439029",37000.84
2017,9,"843099456","075027439029",40051.53
2017,8,"843099456","075027439029",3199.51
2017,4,"843099456","075027439029",36276.16
2017,5,"843099456","075027439029",41463.72
2017,6,"843099456","075027439029",27472.07
2017,2,"843099456","075027439029",30239.98
2017,1,"843099456","075027439029",17839.55
2017,3,"843099456","075027439029",35913.58
2017,8,"565334659","075027439029",16846.99
2017,7,"565334659","075027439029",19704.73
2017,3,"565334659","075027439029",29885.35
2017,2,"565334659","075027439029",27011.2
2017,1,"565334659","075027439029",43335.45
2017,5,"565334659","075027439029",27586.6
2017,6,"565334659","075027439029",37448.72
2017,4,"565334659","075027439029",27586.6
2017,4,"445050064","075027439029",3200.0
2017,5,"445050064","075027439029",3948.0
2017,4,"426546864","075027439029",4598.85
2017,5,"426546864","075027439029",6793.11
2017,9,"426546864","075027439029",4598.85
2017,1,"445050064","075027439029",7368.4
2017,2,"445050064","075027439029",3040.0
2017,3,"445050064","075027439029",3200.0
2017,11,"426546864","075027439029",4608.51
2017,10,"426546864","075027439029",4608.51
2017,12,"426546864","075027439029",4608.51
2017,1,"426546864","075027439029",4598.85
2017,2,"426546864","075027439029",4598.85
2017,3,"426546864","075027439029",5747.85
2017,9,"88254866","075027439029",38213.69
2017,8,"88254866","075027439029",5597.95
2017,10,"88254866","075027439029",40709.35
2017,11,"88254866","075027439029",33178.58
2017,12,"88254866","075027439029",57471.18
2017,5,"317834071","075027439029",23452.11
2017,6,"317834071","075027439029",5747.0
2017,4,"317834071","075027439029",16092.65
2017,7,"317834071","075027439029",20588.49
2017,3,"317834071","075027439029",17242.8
2017,1,"317834071","075027439029",16259.85
2017,2,"317834071","075027439029",16093.8
2017,6,"432561875","075027439029",8862.0
2017,5,"432561875","075027439029",8862.0
2017,4,"432561875","075027439029",8862.0
2017,11,"432561875","075027439029",8976.46
2017,10,"432561875","075027439029",9217.0
2017,2,"432561875","075027439029",8862.0
2017,3,"432561875","075027439029",10011.0
2017,1,"432561875","075027439029",8862.0
2017,9,"432561875","075027439029",10012.0
2017,8,"432561875","075027439029",1143.49
2017,7,"432561875","075027439029",18123.09
2017,12,"432561875","075027439029",35003.68
2017,1,"526694677","075027439029",25538.43
2017,9,"646443679","075027439029",12042.02
2017,10,"646443679","075027439029",25534.56
2017,11,"896893685","075027439029",20419.61
2017,12,"896893685","075027439029",65747.56
2017,10,"896893685","075027439029",19541.43
2017,7,"896893685","075027439029",13958.16
2017,9,"896893685","075027439029",19541.28
2017,8,"896893685","075027439029",17242.43
2017,5,"896893685","075027439029",20519.2
2017,4,"896893685","075027439029",20690.43
2017,6,"896893685","075027439029",19541.43
2017,3,"896893685","075027439029",20690.43
2017,1,"896893685","075027439029",30218.15
2017,2,"896893685","075027439029",19943.93
2017,8,"537054498","075027439029",8862.0
2017,7,"537054498","075027439029",9969.75
2017,9,"537054498","075027439029",8862.0
2017,5,"537054498","075027439029",2578.35
2017,6,"537054498","075027439029",10012.04
2017,4,"537054498","075027439029",15941.8
2017,12,"537054498","075027439029",35005.14
2017,10,"537054498","075027439029",9217.0
2017,11,"537054498","075027439029",10367.43
2017,3,"537054498","075027439029",10011.0
2017,1,"537054498","075027439029",8862.0
2017,2,"537054498","075027439029",8862.0
2017,2,"777631100","075027439029",46859.08
2017,3,"777631100","075027439029",46555.08
2017,1,"777631100","075027439029",86525.42
2017,10,"777631100","075027439029",48210.25
2017,12,"777631100","075027439029",71264.56
2017,11,"777631100","075027439029",47581.95
2017,4,"777631100","075027439029",45562.08
2017,5,"777631100","075027439029",43522.08
2017,6,"777631100","075027439029",13265.25
2017,8,"777631100","075027439029",9796.41
2017,9,"777631100","075027439029",45640.78
2017,7,"777631100","075027439029",30485.99
2017,7,"824560303","075027439029",14263.87
2017,6,"824560303","075027439029",18502.25
2017,5,"824560303","075027439029",6092.63
2017,4,"824560303","075027439029",8640.45
2017,2,"824560303","075027439029",15883.19
2017,1,"824560303","075027439029",13376.45
2017,3,"824560303","075027439029",16091.02
2017,1,"671202306","075027439029",52237.22
2017,2,"671202306","075027439029",31477.26
2017,3,"671202306","075027439029",28891.78
2017,5,"671202306","075027439029",44286.6
2017,4,"671202306","075027439029",28336.26
2017,6,"671202306","075027439029",1271.76
2017,7,"671202306","075027439029",5579.09
2017,12,"449633910","075027439029",26459.78
2017,11,"449633910","075027439029",9217.0
2017,10,"449633910","075027439029",9217.0
2017,9,"449633910","075027439029",8862.0
2017,2,"133183711","075027439029",57.5
2017,1,"133183711","075027439029",115.0
2017,3,"133183711","075027439029",57.5
2017,5,"133183711","075027439029",57.5
2017,6,"133183711","075027439029",57.5
2017,4,"133183711","075027439029",57.5
2017,10,"133183711","075027439029",57.5
2017,11,"133183711","075027439029",57.5
2017,9,"133183711","075027439029",57.5
2017,8,"133183711","075027439029",57.5
2017,7,"133183711","075027439029",57.5
2017,5,"121902914","075027439029",10011.26
2017,6,"121902914","075027439029",8862.0
2017,4,"121902914","075027439029",14011.28
2017,2,"121902914","075027439029",10011.21
2017,1,"121902914","075027439029",10011.0
2017,3,"121902914","075027439029",11162.0
2017,1,"925961914","075027439029",22989.0
2017,8,"121902914","075027439029",17524.09
2017,9,"121902914","075027439029",3185.2
2017,7,"121902914","075027439029",9969.75
2017,11,"121902914","075027439029",11515.94
2017,12,"121902914","075027439029",36152.34
2017,10,"121902914","075027439029",10366.0
2017,1,"910827121","075027439029",8128.8
2017,10,"910827121","075027439029",5530.0
2017,9,"910827121","075027439029",4808.0
2017,2,"910827121","075027439029",3729.2
2017,3,"910827121","075027439029",4299.2
2017,12,"910827121","075027439029",5747.0
2017,11,"910827121","075027439029",4090.0
2017,4,"910827121","075027439029",3516.0
2017,5,"910827121","075027439029",1988.0
2017,5,"29002722","075027439029",34483.0
2017,6,"29002722","075027439029",36781.0
2017,4,"29002722","075027439029",35632.0
2017,8,"29002722","075027439029",28485.65
2017,9,"29002722","075027439029",34483.9
2017,7,"29002722","075027439029",42134.58
2017,2,"29002722","075027439029",34483.0
2017,3,"29002722","075027439029",35632.0
2017,1,"29002722","075027439029",34483.9
2017,12,"29002722","075027439029",131035.77
2017,11,"29002722","075027439029",36782.9
2017,10,"29002722","075027439029",34483.9
2017,12,"195659728","075027439029",91134.66
2017,2,"622098735","075027439029",10011.0
2017,3,"622098735","075027439029",10012.0
2017,1,"622098735","075027439029",8862.0
2017,7,"622098735","075027439029",1116.97
2017,9,"622098735","075027439029",8862.0
2017,8,"622098735","075027439029",8862.0
2017,6,"622098735","075027439029",16942.21
2017,4,"622098735","075027439029",8862.0
2017,5,"622098735","075027439029",8862.0
2017,10,"622098735","075027439029",9217.0
2017,11,"622098735","075027439029",10367.04
2017,12,"622098735","075027439029",35005.06
2017,3,"688140338","075027439029",12815.06
2017,2,"688140338","075027439029",11666.06
2017,1,"688140338","075027439029",14470.68
2017,5,"688140338","075027439029",15555.78
2017,4,"688140338","075027439029",11666.06
2017,11,"688140338","075027439029",12816.68
2017,10,"688140338","075027439029",11667.35
2017,12,"688140338","075027439029",32357.84
2017,6,"688140338","075027439029",7777.38
2017,9,"688140338","075027439029",6667.06
2017,7,"688140338","075027439029",11666.06
2017,8,"688140338","075027439029",16776.78
2017,8,"397547743","075027439029",2798.96
2017,10,"397547743","075027439029",22752.72
2017,11,"397547743","075027439029",24739.1
2017,12,"397547743","075027439029",62069.66
2017,9,"397547743","075027439029",17694.08
2017,6,"109090544","075027439029",52979.84
2017,5,"109090544","075027439029",53705.5
2017,4,"109090544","075027439029",48056.05
2017,9,"109090544","075027439029",53138.37
2017,8,"109090544","075027439029",9095.4
2017,7,"109090544","075027439029",88589.67
2017,10,"109090544","075027439029",56048.08
2017,11,"109090544","075027439029",54487.4
2017,12,"109090544","075027439029",141674.09
2017,3,"109090544","075027439029",32716.39
2017,1,"109090544","075027439029",53556.26
2017,2,"109090544","075027439029",128429.02
2017,10,"359377149","075027439029",1044.98
2017,11,"359377149","075027439029",18668.46
2017,12,"151338956","075027439029",214759.72
2017,10,"151338956","075027439029",87287.58
2017,11,"151338956","075027439029",42227.81
2017,5,"151338956","075027439029",53572.43
2017,6,"151338956","075027439029",53572.43
2017,4,"151338956","075027439029",75554.61
2017,8,"151338956","075027439029",70822.43
2017,9,"151338956","075027439029",53601.67
2017,7,"151338956","075027439029",52724.96
2017,2,"151338956","075027439029",47913.72
2017,1,"151338956","075027439029",58478.7
2017,3,"151338956","075027439029",62287.72
2017,7,"282444357","075027439029",17241.0
2017,9,"282444357","075027439029",17241.0
2017,3,"686448157","075027439029",13051.07
2017,1,"686448157","075027439029",13108.57
2017,12,"282444357","075027439029",6897.0
2017,11,"282444357","075027439029",24138.0
2017,11,"686448157","075027439029",51197.65
2017,12,"686448157","075027439029",130508.98
2017,10,"686448157","075027439029",50103.84
2017,2,"686448157","075027439029",13051.07
2017,6,"686448157","075027439029",13051.07
2017,5,"686448157","075027439029",13051.07
2017,4,"686448157","075027439029",13051.07
2017,7,"686448157","075027439029",13051.07
2017,9,"686448157","075027439029",47805.44
2017,8,"686448157","075027439029",13051.07
2017,4,"282444357","075027439029",34483.0
2017,2,"755697766","075027439029",38533.66
2017,1,"755697766","075027439029",58478.67
2017,3,"755697766","075027439029",34744.58
2017,8,"755697766","075027439029",27724.1
2017,7,"755697766","075027439029",46840.81
2017,9,"755697766","075027439029",58820.92
2017,11,"755697766","075027439029",55130.0
2017,10,"755697766","075027439029",53082.06
2017,12,"755697766","075027439029",172962.9
2017,5,"755697766","075027439029",38500.33
2017,4,"755697766","075027439029",49533.21
2017,6,"755697766","075027439029",34217.67
2017,7,"525582768","075027439029",4598.0
2017,9,"525582768","075027439029",4598.0
2017,3,"525582768","075027439029",4598.0
2017,12,"525582768","075027439029",4598.0
2017,3,"646310770","075027439029",16093.78
2017,2,"646310770","075027439029",14944.78
2017,1,"646310770","075027439029",21023.78
2017,5,"646310770","075027439029",14944.78
2017,6,"646310770","075027439029",19747.59
2017,4,"646310770","075027439029",14944.78
2017,10,"646310770","075027439029",16092.0
2017,11,"646310770","075027439029",16092.0
2017,12,"646310770","075027439029",85057.93
2017,8,"646310770","075027439029",14945.56
2017,7,"646310770","075027439029",11823.84
2017,9,"646310770","075027439029",16092.0
2017,5,"609892776","075027439029",17151.57
2017,4,"609892776","075027439029",8862.0
2017,7,"609892776","075027439029",4573.94
2017,8,"609892776","075027439029",8884.57
2017,1,"609892776","075027439029",8862.0
2017,3,"609892776","075027439029",10011.0
2017,2,"609892776","075027439029",8862.0
2017,10,"368749979","075027439029",5145.0
2017,12,"368749979","075027439029",6897.0
2017,11,"368749979","075027439029",4532.0
2017,3,"613407791","075027439029",35638.5
2017,1,"613407791","075027439029",53427.23
2017,7,"613407791","075027439029",40238.5
2017,8,"613407791","075027439029",60545.2
2017,9,"613407791","075027439029",26389.8
2017,6,"613407791","075027439029",40238.5
2017,5,"613407791","075027439029",42535.2
2017,4,"613407791","075027439029",40235.05
2017,11,"613407791","075027439029",35637.35
2017,12,"613407791","075027439029",164413.33
2017,10,"613407791","075027439029",34487.35
2017,2,"613407791","075027439029",34485.05
2017,7,"689678993","075027439029",26330.46
2017,9,"689678993","075027439029",13793.88
2017,12,"689678993","075027439029",32183.11
2017,11,"689678993","075027439029",13794.37
2017,10,"689678993","075027439029",13793.88
2017,3,"689678993","075027439029",12644.7
2017,2,"689678993","075027439029",14946.55
2017,1,"689678993","075027439029",13796.55
2017,8,"689678993","075027439029",8397.92
2017,4,"689678993","075027439029",12645.06
2017,6,"689678993","075027439029",13796.55
2017,5,"689678993","075027439029",13796.55
2017,7,"972354397","075027439029",7181.8
2017,9,"972354397","075027439029",7181.8
2017,8,"972354397","075027439029",7181.8
2017,6,"972354397","075027439029",7181.8
2017,5,"972354397","075027439029",7181.8
2017,4,"972354397","075027439029",7181.8
2017,12,"972354397","075027439029",81321.27
2017,10,"972354397","075027439029",18571.66
2017,11,"972354397","075027439029",23274.21
2017,3,"972354397","075027439029",7181.8
2017,2,"972354397","075027439029",7181.8
2017,1,"972354397","075027439029",7239.3
2017,5,"144896199","075027439029",10011.0
2017,6,"144896199","075027439029",15792.33
2017,4,"144896199","075027439029",16092.53
2017,11,"144896199","075027439029",26437.35
2017,12,"144896199","075027439029",98776.19
2017,10,"144896199","075027439029",21839.08
2017,9,"144896199","075027439029",20690.8
2017,7,"144896199","075027439029",8209.37
2017,1,"144896199","075027439029",35966.25
2017,3,"144896199","075027439029",21840.61
2017,2,"144896199","075027439029",21838.31
2017,8,"144896199","075027439029",17298.54
2017,9,"446406490","007735617614",4887.5
2017,8,"446406490","007735617614",4887.5
2017,3,"446406490","007735617614",4887.5
2017,6,"446406490","007735617614",4887.5
2017,4,"446406490","007735617614",4887.5
2017,5,"446406490","007735617614",4887.5
2017,11,"446406490","007735617614",4887.5
2017,10,"446406490","007735617614",4887.5
2017,12,"446406490","007735617614",4887.5
2017,9,"61908579","007735617614",1875.0
2017,5,"61908579","007735617614",4312.5
2017,4,"61908579","007735617614",4312.5
2017,6,"61908579","007735617614",205.37
2017,11,"61908579","007735617614",1875.0
2017,10,"61908579","007735617614",1875.0
2017,12,"61908579","007735617614",1875.0
2017,3,"61908579","007735617614",4312.5
